1582389676853,ribcage,2404,1582389676852.4
1582389676853,ribcage,2398,1582389676852.5
1582389676853,ribcage,2396,1582389676852.5999
1582389676853,ribcage,2402,1582389676852.7
1582389676853,ribcage,2395,1582389676852.7998
1582389676853,ribcage,2401,1582389676852.9
1582389676853,ribcage,2380,1582389676853
1582389677562,ribcage,2365,1582389677561.4
1582389677562,ribcage,2348,1582389677561.5
1582389677562,ribcage,2329,1582389677561.5999
1582389677562,ribcage,2317,1582389677561.7
1582389677562,ribcage,2306,1582389677561.7998
1582389677562,ribcage,2298,1582389677561.9
1582389677562,ribcage,2292,1582389677562
1582389678251,ribcage,2287,1582389678250.4
1582389678251,ribcage,2285,1582389678250.5
1582389678251,ribcage,2284,1582389678250.5999
1582389678251,ribcage,2283,1582389678250.7
1582389678251,ribcage,2274,1582389678250.7998
1582389678251,ribcage,2278,1582389678250.9
1582389678251,ribcage,2276,1582389678251
1582389678956,ribcage,2276,1582389678955.4
1582389678956,ribcage,2280,1582389678955.5
1582389678956,ribcage,2287,1582389678955.5999
1582389678956,ribcage,2296,1582389678955.7
1582389678956,ribcage,2308,1582389678955.7998
1582389678956,ribcage,2329,1582389678955.9
1582389678956,ribcage,2343,1582389678956
1582389679661,ribcage,2365,1582389679660.4
1582389679661,ribcage,2378,1582389679660.5
1582389679661,ribcage,2389,1582389679660.5999
1582389679661,ribcage,2394,1582389679660.7
1582389679661,ribcage,2390,1582389679660.7998
1582389679661,ribcage,2375,1582389679660.9
1582389679661,ribcage,2362,1582389679661
1582389680351,ribcage,2348,1582389680350.4
1582389680351,ribcage,2329,1582389680350.5
1582389680351,ribcage,2317,1582389680350.5999
1582389680351,ribcage,2308,1582389680350.7
1582389680351,ribcage,2296,1582389680350.7998
1582389680351,ribcage,2289,1582389680350.9
1582389680351,ribcage,2284,1582389680351
1582389681052,ribcage,2280,1582389681051.4
1582389681052,ribcage,2277,1582389681051.5
1582389681052,ribcage,2276,1582389681051.5999
1582389681052,ribcage,2277,1582389681051.7
1582389681052,ribcage,2274,1582389681051.7998
1582389681052,ribcage,2268,1582389681051.9
1582389681052,ribcage,2272,1582389681052
1582389681758,ribcage,2272,1582389681757.4
1582389681758,ribcage,2276,1582389681757.5
1582389681758,ribcage,2281,1582389681757.5999
1582389681758,ribcage,2293,1582389681757.7
1582389681758,ribcage,2309,1582389681757.7998
1582389681758,ribcage,2327,1582389681757.9
1582389681758,ribcage,2344,1582389681758
1582389682448,ribcage,2362,1582389682447.4
1582389682448,ribcage,2376,1582389682447.5
1582389682448,ribcage,2389,1582389682447.5999
1582389682448,ribcage,2392,1582389682447.7
1582389682448,ribcage,2388,1582389682447.7998
1582389682448,ribcage,2377,1582389682447.9
1582389682448,ribcage,2358,1582389682448
1582389683152,ribcage,2345,1582389683151.4
1582389683152,ribcage,2337,1582389683151.5
1582389683152,ribcage,2327,1582389683151.5999
