0.1,-21.7,1492,75
0.2,-25,1506,75
0.3,-23.767,1476,75
0.4,-7.633,1499,75
0.5,22.667,1505,75
0.6,32.067,1501,75
0.7,34.6,1502,75
0.8,35.2,1522,75
0.9,32.267,1503,75
1,30.767,1516,75
1.1,33.267,1522,75
1.2,33.633,1523,75
1.3,30.1,1526,75
1.4,18.7,1534,75
1.5,-2.933,1527,75
1.6,-13.8,1526,75
1.7,-18.933,1527,75
1.8,-20.867,1537,75
1.9,-23.033,1548,75
2,-21.033,1540,75
2.1,-21.667,1523,75
2.2,-25.867,1501,75
2.3,-30.733,1497,75
2.4,-27.233,1490,75
2.5,-26.567,1468,75
2.6,-24.667,1460,75
2.7,-24.067,1465,74
2.8,-22.2,1429,74
2.9,-17.067,1441,74
3,-15.167,1443,74
3.1,-6.367,1444,74
3.2,12.233,1448,74
3.3,27.967,1463,74
3.4,34.6,1456,74
3.5,36.533,1462,74
3.6,37.167,1473,74
3.7,35.567,1482,74
3.8,34.067,1493,74
3.9,30.733,1504,74
4,28.467,1515,74
4.1,19.133,1500,74
4.2,1.9,1503,74
4.3,-5.9,1498,74
4.4,-10.5,1492,74
4.5,-12.3,1494,74
4.6,-10.8,1502,74
4.7,-8.533,1485,74
4.8,-12.4,1484,75
4.9,-12.5,1485,75
5,-10.333,1484,75
5.1,-11.367,1477,75
5.2,-18.233,1490,75
5.3,-24.433,1464,75
5.4,-26.5,1471,75
5.5,-26.433,1469,75
5.6,-26.067,1462,75
5.7,-25.4,1456,75
5.8,-20.467,1458,75
5.9,-14.833,1456,75
6,-13.6,1446,75
6.1,10.133,1450,75
6.2,27.767,1455,77
6.3,32.6,1464,77
6.4,36.833,1473,77
6.5,33.933,1503,77
6.6,31.033,1487,77
6.7,26.3,1498,77
6.8,19.133,1508,77
6.9,12.067,1500,77
7,12.467,1501,77
7.1,1.5,1513,77
7.2,-13.067,1498,77
7.3,-12.967,1496,77
7.4,-15.267,1496,77
7.5,-23.667,1497,77
7.6,-22.367,1485,77
7.7,-26.033,1506,77
7.8,-32.5,1510,77
7.9,-33.433,1489,77
8,-34.4,1485,77
8.1,-31.567,1479,77
8.2,-28.4,1474,77
8.3,-25.533,1466,78
8.4,-23.8,1471,78
8.5,-23.333,1457,78
8.6,-24.467,1460,78
8.7,-20.567,1467,78
8.8,15.233,1486,78
